userId,favoriteTopicIds
"20zXp79m7IbvQ5n5NTel6KbY2Im1","[""12"",""13"",""10"",""11"",""16"",""36""]"
"306bt4ehuyW6Ry3fPIIKPjQ2Hs32","[""4"",""16"",""6"",""7"",""13"",""11"",""0"",""10""]"
"7FSFooDWn0b2YJnsUyVaO5AtfAr1","[""10"",""11"",""13"",""6"",""7"",""12""]"
"DScwY3cqIGYGwtH6LVHg1wgwyk22","[""10"",""6"",""0"",""13"",""11"",""12""]"
"DuTELvTsXgTwIpfnE3WroudUrqD2","[""7"",""10"",""11"",""12"",""0""]"
"F3jsAn6FxMeIWIoCejNLUBlYK352","[""10"",""13"",""11"",""7""]"
"HTVPVlIhEwNGP1e0NZHMucPPjaI3","[""0"",""12"",""6"",""13"",""11"",""16"",""7"",""10"",""4""]"
"HktVxxYHbHNYDSDRLDDw8JAwF552","[""11"",""6"",""10"",""12""]"
"LR0HHOHtKYgU0ombNVLXENmSs5B2","[""11"",""6"",""10""]"
"QoV8Ev1Bq8RfKplvilnDdTFwIQe2","[""13"",""12"",""11"",""10""]"
"SLHEhKr8NDexugLW0FZAhGM7V903","[""10"",""11"",""0""]"
"SxoHkhviG4cCXHO4T46inOraMFF2","[""0"",""10"",""12"",""4"",""11"",""13"",""6"",""7""]"
"UGYhe26dAdSi7v9zLWcl3SKt71F3","[""0"",""4"",""12"",""13"",""11"",""6"",""7"",""16""]"
"UTKWYLfCztRtp96DxsqGQzAIp192","[""10"",""12"",""0"",""11""]"
"VEyQSjKJLdTlJrQgthVkA8tjKnr1","[""0"",""4"",""12"",""11"",""13"",""7"",""6"",""16"",""10""]"
"XVcBLer2HUSBKcEX5bVXsyeG5C83","[""12"",""7"",""16"",""6"",""0"",""11"",""10""]"
"acjcKO5PCQdyj1oMsfoSKPw9JbP2","[""11""]"
"bHDBFT1iJIdOfDWiWxbi6c0L6mZ2","[""11"",""10"",""0"",""13""]"
"c4WeTLojGQY8w1LRKgQ795IKnZP2","[""6"",""10"",""12"",""11""]"
"cWoFUyMq5aSH6iqfat89hyIGMu73","[""11"",""16"",""13"",""6""]"
"d9DrHoAYb3ZFFqzY7HF1vvjy02Y2","[""10"",""0"",""13"",""11"",""6"",""7"",""16"",""4""]"
"fDIKp5X9M0Ot6NcYqIH66pbodCE3","[""6"",""11"",""13"",""10"",""12""]"
"jasY48B5U2W9ASDJjT7F2AURjZh2","[""12"",""11""]"
"lE0IZttQkCWBGnMDFg4Hq3m0EXU2","[""11""]"
"nAFLpF83lfXQr566e5PmJuSldyI2","[""12"",""10"",""0"",""4"",""11"",""13"",""6"",""16"",""7""]"
"rDaEsQqeoUToQw901KQgIKCyxfC3","[""0"",""11"",""13"",""7"",""12""]"
"sY5IW6dWkpP6afTabldbAOLzIzI3","[""0"",""12"",""4"",""16"",""6"",""13"",""11""]"
"t0v9CB4uiqOf7BlpAPBN2wWSms52","[""0"",""13"",""12"",""11"",""7""]"
"uNAqz3RbSFeB6B1KjAJDwhY57PA2","[""10"",""0"",""4"",""12"",""11"",""13"",""6"",""7"",""16""]"
"ubFd1SUPsFReZfNYtGFHePCL5Oa2","[""10"",""11"",""13""]"
"udYGiBXWgGOjh3S7ZTiTcEnWmCJ3","[""10"",""12"",""11""]"
"ymJkajcq2adt9uOqh7eFmpzXoBh1","[""4"",""0"",""10"",""13"",""16"",""11"",""12""]"
"z0yT3tOT82T4xslZ5nRYZLIo2Il2","[""0"",""12"",""13"",""11"",""4"",""6"",""16""]"
"zhlVrYzmCENEeQmKKKqd59u4S3B3","[""12"",""11"",""7"",""6""]"
